ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
15; 57; 12.471; 1.280; 3.985; 2.553; 2.509; 0.578;
15; 57; 12.521; 1.280; 3.987; 2.551; 2.510; 0.577;
15; 57; 12.571; 1.280; 3.989; 2.550; 2.511; 0.578;
15; 57; 12.621; 1.280; 3.988; 2.552; 2.511; 0.578;
15; 57; 12.671; 1.280; 3.986; 2.554; 2.511; 0.578;
15; 57; 12.721; 1.280; 3.981; 2.556; 2.510; 0.577;
15; 57; 12.771; 1.280; 3.977; 2.559; 2.509; 0.578;
15; 57; 12.821; 1.280; 3.977; 2.559; 2.510; 0.576;
15; 57; 12.871; 1.280; 3.979; 2.557; 2.509; 0.579;
15; 57; 12.921; 1.280; 3.980; 2.557; 2.509; 0.578;
15; 57; 12.971; 1.280; 3.984; 2.554; 2.508; 0.578;
15; 57; 13.021; 1.280; 3.984; 2.554; 2.509; 0.578;
15; 57; 13.071; 1.280; 3.986; 2.552; 2.509; 0.578;
15; 57; 13.121; 1.280; 3.986; 2.551; 2.509; 0.578;
15; 57; 13.171; 1.280; 3.988; 2.551; 2.510; 0.578;
15; 57; 13.331; 1.270; 3.988; 2.549; 2.511; 0.578;
15; 57; 13.381; 1.270; 3.988; 2.551; 2.510; 0.579;
15; 57; 13.431; 1.270; 3.987; 2.553; 2.511; 0.579;
15; 57; 13.481; 1.270; 3.986; 2.554; 2.510; 0.579;
15; 57; 13.531; 1.270; 3.981; 2.556; 2.510; 0.578;
15; 57; 13.581; 1.270; 3.981; 2.556; 2.510; 0.580;
15; 57; 13.631; 1.270; 3.978; 2.557; 2.510; 0.579;
15; 57; 13.681; 1.270; 3.977; 2.557; 2.510; 0.579;
15; 57; 13.731; 1.270; 3.977; 2.557; 2.510; 0.579;
15; 57; 13.781; 1.270; 3.978; 2.557; 2.509; 0.575;
15; 57; 13.831; 1.270; 3.978; 2.557; 2.509; 0.582;
15; 57; 13.881; 1.270; 3.979; 2.557; 2.509; 0.581;
15; 57; 13.931; 1.270; 3.980; 2.557; 2.509; 0.579;
15; 57; 13.981; 1.270; 3.980; 2.555; 2.509; 0.580;
15; 57; 14.031; 1.270; 3.984; 2.555; 2.509; 0.580;
15; 57; 14.081; 1.270; 3.984; 2.554; 2.508; 0.580;
15; 57; 14.131; 1.270; 3.984; 2.553; 2.508; 0.580;
15; 57; 14.181; 1.270; 3.985; 2.553; 2.509; 0.580;
15; 57; 14.231; 1.270; 3.985; 2.552; 2.509; 0.581;
15; 57; 14.281; 1.270; 3.987; 2.551; 2.509; 0.580;
15; 57; 14.331; 1.270; 3.988; 2.551; 2.510; 0.581;
15; 57; 14.381; 1.270; 3.989; 2.550; 2.511; 0.580;
15; 57; 14.431; 1.270; 3.989; 2.551; 2.510; 0.580;
15; 57; 14.481; 1.270; 3.987; 2.551; 2.511; 0.582;
15; 57; 14.531; 1.270; 3.988; 2.553; 2.511; 0.581;
15; 57; 14.581; 1.270; 3.986; 2.554; 2.511; 0.581;
15; 57; 14.631; 1.270; 3.982; 2.557; 2.510; 0.580;
15; 57; 14.681; 1.270; 3.979; 2.557; 2.510; 0.582;
15; 57; 14.731; 1.270; 3.977; 2.558; 2.510; 0.581;
15; 57; 14.781; 1.270; 3.978; 2.557; 2.509; 0.582;
15; 57; 14.956; 1.280; 3.987; 2.552; 2.511; 0.582;
15; 57; 15.006; 1.280; 3.983; 2.556; 2.510; 0.582;
15; 57; 15.056; 1.280; 3.980; 2.556; 2.510; 0.583;
15; 57; 15.106; 1.280; 3.978; 2.557; 2.509; 0.583;
15; 57; 15.156; 1.280; 3.977; 2.557; 2.510; 0.585;
15; 57; 15.206; 1.280; 3.978; 2.558; 2.510; 0.579;
15; 57; 15.256; 1.280; 3.979; 2.557; 2.509; 0.585;
15; 57; 15.306; 1.280; 3.981; 2.558; 2.508; 0.583;
15; 57; 15.356; 1.280; 3.982; 2.556; 2.508; 0.583;
15; 57; 15.406; 1.280; 3.984; 2.553; 2.509; 0.583;
15; 57; 15.456; 1.280; 3.987; 2.551; 2.509; 0.584;
15; 57; 15.506; 1.280; 3.987; 2.551; 2.510; 0.584;
15; 57; 15.556; 1.280; 3.989; 2.551; 2.511; 0.584;
15; 57; 15.606; 1.280; 3.986; 2.554; 2.510; 0.584;
15; 57; 15.656; 1.280; 3.983; 2.556; 2.511; 0.583;
15; 57; 15.706; 1.280; 3.980; 2.558; 2.510; 0.585;
15; 57; 15.756; 1.280; 3.977; 2.557; 2.509; 0.585;
15; 57; 15.806; 1.280; 3.977; 2.557; 2.509; 0.584;
15; 57; 15.856; 1.280; 3.979; 2.557; 2.509; 0.585;
15; 57; 15.906; 1.280; 3.979; 2.557; 2.509; 0.586;
15; 57; 15.956; 1.280; 3.981; 2.555; 2.508; 0.585;
15; 57; 16.006; 1.280; 3.982; 2.554; 2.508; 0.585;
15; 57; 16.056; 1.280; 3.985; 2.553; 2.509; 0.585;
15; 57; 16.106; 1.280; 3.985; 2.553; 2.509; 0.586;
15; 57; 16.156; 1.280; 3.987; 2.550; 2.509; 0.586;
15; 57; 16.206; 1.280; 3.987; 2.550; 2.510; 0.587;
15; 57; 16.256; 1.280; 3.989; 2.551; 2.510; 0.586;
15; 57; 16.306; 1.280; 3.988; 2.551; 2.510; 0.587;
