ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
8; 54; 24.244; 0.000; 1.403; 2.510; 2.505; 0.309;
8; 54; 24.294; 0.000; 1.400; 2.510; 2.504; 0.310;
8; 54; 24.344; 0.000; 1.385; 2.510; 2.505; 0.314;
8; 54; 24.394; 0.000; 1.387; 2.510; 2.505; 0.319;
8; 54; 24.444; 0.000; 1.396; 2.509; 2.505; 0.313;
8; 54; 24.494; 0.000; 1.404; 2.510; 2.505; 0.310;
8; 54; 24.544; 0.000; 1.389; 2.511; 2.505; 0.314;
8; 54; 24.594; 0.000; 1.385; 2.509; 2.505; 0.319;
8; 54; 24.644; 0.000; 1.390; 2.511; 2.505; 0.318;
8; 54; 24.694; 0.000; 1.403; 2.510; 2.506; 0.308;
8; 54; 24.744; 0.000; 1.400; 2.510; 2.506; 0.309;
8; 54; 24.794; 0.000; 1.387; 2.510; 2.505; 0.314;
8; 54; 24.844; 0.000; 1.386; 2.509; 2.506; 0.319;
8; 54; 24.894; 0.000; 1.391; 2.510; 2.505; 0.318;
8; 54; 24.944; 0.000; 1.403; 2.509; 2.506; 0.309;
8; 54; 24.994; 0.000; 1.400; 2.509; 2.506; 0.309;
8; 54; 25.044; 0.000; 1.388; 2.509; 2.506; 0.313;
8; 54; 25.094; 0.000; 1.386; 2.509; 2.505; 0.319;
8; 54; 25.144; 0.000; 1.390; 2.510; 2.505; 0.318;
8; 54; 25.194; 0.000; 1.402; 2.510; 2.505; 0.308;
8; 54; 25.244; 0.000; 1.402; 2.510; 2.506; 0.309;
8; 54; 25.294; 0.000; 1.390; 2.510; 2.506; 0.313;
8; 54; 25.344; 0.000; 1.385; 2.510; 2.506; 0.319;
8; 54; 25.394; 0.000; 1.390; 2.510; 2.505; 0.318;
8; 54; 25.444; 0.000; 1.402; 2.509; 2.506; 0.308;
8; 54; 25.494; 0.000; 1.401; 2.510; 2.505; 0.310;
8; 54; 25.544; 0.000; 1.388; 2.510; 2.506; 0.313;
8; 54; 25.594; 0.000; 1.385; 2.510; 2.505; 0.319;
8; 54; 25.758;-0.020; 1.387; 2.509; 2.506; 0.314;
8; 54; 25.808;-0.020; 1.385; 2.509; 2.505; 0.320;
8; 54; 25.858;-0.020; 1.389; 2.510; 2.505; 0.318;
8; 54; 25.908;-0.020; 1.400; 2.509; 2.505; 0.307;
8; 54; 25.958;-0.020; 1.403; 2.510; 2.505; 0.310;
8; 54; 26.008;-0.020; 1.394; 2.510; 2.506; 0.313;
8; 54; 26.058;-0.020; 1.385; 2.509; 2.506; 0.317;
8; 54; 26.108;-0.020; 1.387; 2.510; 2.505; 0.319;
8; 54; 26.158;-0.020; 1.395; 2.510; 2.505; 0.314;
8; 54; 26.208;-0.020; 1.403; 2.510; 2.505; 0.308;
8; 54; 26.258;-0.020; 1.392; 2.509; 2.505; 0.314;
8; 54; 26.308;-0.020; 1.385; 2.510; 2.506; 0.319;
8; 54; 26.358;-0.020; 1.388; 2.510; 2.505; 0.318;
8; 54; 26.408;-0.020; 1.396; 2.510; 2.505; 0.311;
8; 54; 26.458;-0.020; 1.405; 2.509; 2.506; 0.311;
8; 54; 26.508;-0.020; 1.400; 2.510; 2.505; 0.309;
8; 54; 26.558;-0.020; 1.387; 2.510; 2.505; 0.314;
8; 54; 26.608;-0.020; 1.386; 2.510; 2.506; 0.319;
8; 54; 26.658;-0.020; 1.390; 2.509; 2.506; 0.319;
8; 54; 26.708;-0.020; 1.401; 2.510; 2.506; 0.307;
8; 54; 26.758;-0.020; 1.402; 2.509; 2.505; 0.310;
8; 54; 26.808;-0.020; 1.391; 2.509; 2.505; 0.313;
8; 54; 26.858;-0.020; 1.385; 2.510; 2.505; 0.320;
8; 54; 26.908;-0.020; 1.389; 2.509; 2.505; 0.318;
8; 54; 26.958;-0.020; 1.401; 2.509; 2.505; 0.307;
8; 54; 27.008;-0.020; 1.402; 2.509; 2.506; 0.309;
8; 54; 27.058;-0.020; 1.390; 2.510; 2.505; 0.313;
8; 54; 27.108;-0.020; 1.385; 2.509; 2.506; 0.320;
8; 54; 27.158;-0.020; 1.387; 2.510; 2.505; 0.320;
8; 54; 27.208;-0.020; 1.399; 2.510; 2.505; 0.308;
8; 54; 27.374; 0.000; 1.392; 2.509; 2.506; 0.314;
8; 54; 27.424; 0.000; 1.385; 2.509; 2.505; 0.319;
8; 54; 27.474; 0.000; 1.390; 2.509; 2.506; 0.318;
8; 54; 27.524; 0.000; 1.403; 2.510; 2.505; 0.309;
8; 54; 27.574; 0.000; 1.400; 2.510; 2.506; 0.310;
8; 54; 27.624; 0.000; 1.386; 2.509; 2.506; 0.314;
8; 54; 27.674; 0.000; 1.386; 2.509; 2.505; 0.320;
8; 54; 27.724; 0.000; 1.391; 2.509; 2.505; 0.318;
8; 54; 27.774; 0.000; 1.403; 2.510; 2.505; 0.308;
8; 54; 27.824; 0.000; 1.402; 2.510; 2.506; 0.310;
8; 54; 27.874; 0.000; 1.391; 2.509; 2.506; 0.313;
8; 54; 27.924; 0.000; 1.385; 2.509; 2.505; 0.320;
8; 54; 27.974; 0.000; 1.388; 2.511; 2.505; 0.319;
8; 54; 28.024; 0.000; 1.398; 2.509; 2.505; 0.308;
8; 54; 28.074; 0.000; 1.405; 2.510; 2.505; 0.313;
8; 54; 28.124; 0.000; 1.398; 2.510; 2.505; 0.310;
8; 54; 28.174; 0.000; 1.385; 2.509; 2.506; 0.314;
8; 54; 28.224; 0.000; 1.386; 2.510; 2.505; 0.320;
8; 54; 28.274; 0.000; 1.392; 2.510; 2.505; 0.318;
8; 54; 28.324; 0.000; 1.404; 2.511; 2.505; 0.308;
8; 54; 28.374; 0.000; 1.401; 2.509; 2.505; 0.309;
8; 54; 28.424; 0.000; 1.387; 2.510; 2.505; 0.314;
8; 54; 28.474; 0.000; 1.386; 2.509; 2.505; 0.319;
8; 54; 28.524; 0.000; 1.392; 2.509; 2.505; 0.318;
8; 54; 28.574; 0.000; 1.402; 2.510; 2.504; 0.308;
8; 54; 28.624; 0.000; 1.400; 2.510; 2.505; 0.309;
8; 54; 28.674; 0.000; 1.388; 2.510; 2.505; 0.314;
8; 54; 28.724; 0.000; 1.385; 2.510; 2.505; 0.319;
